report_date,postcode,location_name,annual_consumption_in_kWh,market,ranking,currency,gross_price_per_month
2024-01-01,10115,Berlin,1500.0,Bonus,26,EUR,45.130833333333335
2024-01-01,10115,Berlin,1500.0,Bonus,33,EUR,46.58083333333334
2024-01-01,81539,München,1500.0,Bonus,36,EUR,45.854166666666664
2024-01-01,81539,München,1500.0,Bonus,47,EUR,48.6975
2024-01-01,10115,Berlin,2500.0,Non-Bonus,34,EUR,77.29166666666667
2024-01-01,81539,München,2500.0,Non-Bonus,30,EUR,74.92083333333333
2024-01-01,81539,München,2500.0,Non-Bonus,37,EUR,75.97916666666667
2024-01-01,10115,Berlin,3500.0,Non-Bonus,10,EUR,96.64583333333333
2024-01-01,10115,Berlin,3500.0,Non-Bonus,27,EUR,103.57083333333333
2024-01-01,10115,Berlin,3500.0,Non-Bonus,32,EUR,104.1875
2024-01-01,10115,Berlin,3500.0,Non-Bonus,46,EUR,106.36
2024-01-01,81539,München,3500.0,Non-Bonus,13,EUR,95.4975
2024-01-01,10115,Berlin,1000.0,Bonus,4,EUR,29.885
2024-01-01,10115,Berlin,1000.0,Bonus,33,EUR,35.345
2024-01-01,10115,Berlin,1000.0,Bonus,43,EUR,36.910833333333336
2024-01-01,81539,München,1000.0,Bonus,16,EUR,31.985833333333332
2024-01-01,10115,Berlin,3000.0,Non-Bonus,13,EUR,85.83749999999999
2024-01-01,10115,Berlin,3000.0,Non-Bonus,23,EUR,89.45166666666667
2024-01-01,10115,Berlin,3000.0,Non-Bonus,39,EUR,91.41666666666667
2024-01-01,10115,Berlin,3000.0,Non-Bonus,44,EUR,92.52499999999999
2024-01-01,10115,Berlin,2000.0,Non-Bonus,15,EUR,61.69166666666666
2024-01-01,10115,Berlin,2000.0,Non-Bonus,32,EUR,63.76916666666667
2024-01-01,10115,Berlin,2000.0,Non-Bonus,44,EUR,65.05333333333333
2024-01-01,10115,Berlin,1500.0,Non-Bonus,9,EUR,46.58083333333334
2024-01-01,10115,Berlin,1500.0,Non-Bonus,18,EUR,49.38583333333333
2024-01-01,10115,Berlin,1500.0,Non-Bonus,22,EUR,49.93333333333334
2024-01-01,10115,Berlin,1500.0,Non-Bonus,29,EUR,50.237500000000004
2024-01-01,10115,Berlin,1500.0,Non-Bonus,37,EUR,50.64166666666667
2024-01-01,10115,Berlin,4500.0,Non-Bonus,26,EUR,130.1875
2024-01-01,10115,Berlin,4500.0,Non-Bonus,27,EUR,130.5875
2024-01-01,81539,München,4500.0,Non-Bonus,27,EUR,125.73
2024-01-01,10115,Berlin,1000.0,Non-Bonus,22,EUR,36.9425
2024-01-01,10115,Berlin,1000.0,Non-Bonus,30,EUR,37.5325
2024-01-01,10115,Berlin,1000.0,Non-Bonus,34,EUR,37.725
2024-01-01,81539,München,1000.0,Non-Bonus,25,EUR,36.62833333333334
2024-01-01,10115,Berlin,5000.0,Non-Bonus,36,EUR,145.94833333333335
2024-01-01,10115,Berlin,5000.0,Non-Bonus,43,EUR,146.6225
2024-01-01,81539,München,5000.0,Non-Bonus,7,EUR,125.86
2024-01-01,81539,München,5000.0,Non-Bonus,28,EUR,138.55583333333334
2024-01-01,10115,Berlin,4250.0,Non-Bonus,19,EUR,120.98333333333333
2024-01-01,10115,Berlin,4250.0,Non-Bonus,37,EUR,125.5225
2024-01-01,10115,Berlin,4250.0,Non-Bonus,46,EUR,127.01333333333334
2024-01-01,10115,Berlin,4250.0,Non-Bonus,50,EUR,127.63333333333333
2024-01-01,81539,München,4250.0,Non-Bonus,7,EUR,108.98416666666667
2024-01-01,81539,München,4250.0,Non-Bonus,14,EUR,114.3175
2024-01-01,81539,München,4250.0,Non-Bonus,18,EUR,114.69749999999999
2024-01-01,81539,München,4250.0,Non-Bonus,23,EUR,117.3725
2024-01-01,10115,Berlin,4000.0,Non-Bonus,30,EUR,117.43333333333334
2024-01-01,10115,Berlin,4000.0,Non-Bonus,43,EUR,119.27499999999999
2024-01-01,10115,Berlin,4000.0,Non-Bonus,50,EUR,120.46666666666665
2024-01-01,81539,München,4000.0,Non-Bonus,3,EUR,84.56833333333334
2024-01-01,81539,München,4000.0,Non-Bonus,40,EUR,115.97916666666667
2024-01-01,10115,Berlin,2500.0,Non-Bonus,15,EUR,74.45916666666666
2024-01-01,10115,Berlin,2500.0,Non-Bonus,22,EUR,76.26416666666667
2024-01-01,10115,Berlin,3500.0,Non-Bonus,9,EUR,96.04333333333334
2024-01-01,81539,München,3500.0,Non-Bonus,33,EUR,101.44583333333333
2024-01-01,81539,München,3500.0,Non-Bonus,42,EUR,102.78666666666668
2024-01-01,10115,Berlin,1000.0,Bonus,17,EUR,32.585
2024-01-01,81539,München,1000.0,Bonus,29,EUR,34.06583333333334
2024-01-01,10115,Berlin,3000.0,Non-Bonus,16,EUR,87.24166666666667
2024-01-01,81539,München,3000.0,Non-Bonus,5,EUR,79.21249999999999
2024-01-01,81539,München,3000.0,Non-Bonus,29,EUR,87.54166666666667
2024-01-01,81539,München,3000.0,Non-Bonus,35,EUR,88.71249999999999
2024-01-01,10115,Berlin,2000.0,Non-Bonus,7,EUR,57.85916666666666
2024-01-01,10115,Berlin,2000.0,Non-Bonus,38,EUR,64.36
2024-01-01,81539,München,2000.0,Non-Bonus,39,EUR,63.01666666666667
2024-01-01,10115,Berlin,1500.0,Non-Bonus,2,EUR,38.7525
2024-01-01,10115,Berlin,1500.0,Non-Bonus,5,EUR,45.130833333333335
2024-01-01,10115,Berlin,1500.0,Non-Bonus,20,EUR,49.88916666666666
2024-01-01,10115,Berlin,1500.0,Non-Bonus,31,EUR,50.335
2024-01-01,10115,Berlin,1500.0,Non-Bonus,41,EUR,51.31916666666667
2024-01-01,81539,München,1500.0,Non-Bonus,3,EUR,38.685833333333335
2024-01-01,81539,München,1500.0,Non-Bonus,11,EUR,45.3975
2024-01-01,81539,München,4500.0,Non-Bonus,16,EUR,120.44583333333333
2024-01-01,81539,München,4500.0,Non-Bonus,21,EUR,122.8675
2024-01-01,81539,München,4500.0,Non-Bonus,30,EUR,125.92750000000001
2024-01-01,81539,München,4500.0,Non-Bonus,46,EUR,130.15916666666666
2024-01-01,10115,Berlin,1000.0,Non-Bonus,23,EUR,37.026666666666664
2024-01-01,81539,München,1000.0,Non-Bonus,41,EUR,37.836666666666666
2024-01-01,81539,München,5000.0,Non-Bonus,3,EUR,102.92166666666667
2024-01-01,10115,Berlin,4250.0,Non-Bonus,20,EUR,122.2275
2024-01-01,10115,Berlin,4250.0,Non-Bonus,29,EUR,124.08333333333333
2024-01-01,10115,Berlin,4250.0,Non-Bonus,33,EUR,124.79083333333334
2024-01-01,81539,München,4250.0,Non-Bonus,20,EUR,116.2675
2024-01-01,81539,München,4250.0,Non-Bonus,30,EUR,119.5
2024-01-01,10115,Berlin,4000.0,Non-Bonus,18,EUR,113.96666666666665
2024-01-01,10115,Berlin,4000.0,Non-Bonus,24,EUR,115.82666666666667
2024-01-01,81539,München,4000.0,Non-Bonus,36,EUR,114.95416666666667
2024-01-01,10115,Berlin,1500.0,Bonus,29,EUR,46.03333333333333
2024-01-01,81539,München,1500.0,Bonus,13,EUR,40.931666666666665
2024-01-01,81539,München,1500.0,Bonus,22,EUR,42.737500000000004
2024-01-01,81539,München,1500.0,Bonus,26,EUR,43.711666666666666
2024-01-01,10115,Berlin,2500.0,Non-Bonus,13,EUR,73.13333333333334
2024-01-01,10115,Berlin,2500.0,Non-Bonus,19,EUR,75.63416666666667
2024-01-01,10115,Berlin,2500.0,Non-Bonus,33,EUR,77.21249999999999
2024-01-01,10115,Berlin,2500.0,Non-Bonus,39,EUR,77.73666666666666
2024-01-01,10115,Berlin,3500.0,Non-Bonus,19,EUR,101.83916666666666
2024-01-01,10115,Berlin,3500.0,Non-Bonus,29,EUR,103.795
2024-01-01,81539,München,3500.0,Non-Bonus,27,EUR,99.86083333333333
2024-01-01,10115,Berlin,1000.0,Bonus,11,EUR,31.12
2024-01-01,10115,Berlin,1000.0,Bonus,21,EUR,33.416666666666664
2024-01-01,81539,München,1000.0,Bonus,44,EUR,36.59666666666667
2024-01-01,10115,Berlin,3000.0,Non-Bonus,14,EUR,85.9775
2024-01-01,81539,München,3000.0,Non-Bonus,1,EUR,62.580000000000005
2024-01-01,10115,Berlin,2000.0,Non-Bonus,9,EUR,58.85666666666666
2024-01-01,10115,Berlin,2000.0,Non-Bonus,17,EUR,61.94583333333333
2024-01-01,81539,München,2000.0,Non-Bonus,2,EUR,47.80833333333334
2024-01-01,81539,München,2000.0,Non-Bonus,7,EUR,56.10333333333333
2024-01-01,81539,München,2000.0,Non-Bonus,23,EUR,61.27
2024-01-01,81539,München,2000.0,Non-Bonus,35,EUR,62.840833333333336
2024-01-01,10115,Berlin,1500.0,Non-Bonus,4,EUR,44.85333333333333
2024-01-01,10115,Berlin,1500.0,Non-Bonus,13,EUR,48.495000000000005
2024-01-01,10115,Berlin,1500.0,Non-Bonus,33,EUR,50.40083333333333
2024-01-01,81539,München,1500.0,Non-Bonus,24,EUR,48.84916666666667
2024-01-01,81539,München,4500.0,Non-Bonus,9,EUR,118.78416666666668
2024-01-01,81539,München,4500.0,Non-Bonus,10,EUR,119.36166666666666
2024-01-01,81539,München,4500.0,Non-Bonus,37,EUR,128.3325
2024-01-01,10115,Berlin,1000.0,Non-Bonus,25,EUR,37.12916666666667
2024-01-01,81539,München,1000.0,Non-Bonus,19,EUR,36.025
2024-01-01,81539,München,1000.0,Non-Bonus,37,EUR,37.541666666666664
2024-01-01,10115,Berlin,5000.0,Non-Bonus,23,EUR,142.5925
2024-01-01,10115,Berlin,5000.0,Non-Bonus,50,EUR,148.1
2024-01-01,81539,München,5000.0,Non-Bonus,43,EUR,142.69916666666668
2024-01-01,10115,Berlin,4250.0,Non-Bonus,28,EUR,123.95083333333334
2024-01-01,81539,München,4250.0,Non-Bonus,44,EUR,123.11166666666666
2024-01-01,10115,Berlin,4000.0,Non-Bonus,11,EUR,109.39999999999999
2024-01-01,10115,Berlin,4000.0,Non-Bonus,31,EUR,117.52166666666666
2024-01-01,81539,München,4000.0,Non-Bonus,15,EUR,108.18916666666667
2024-01-01,10115,Berlin,1500.0,Bonus,6,EUR,39.02
2024-01-01,10115,Berlin,1500.0,Bonus,8,EUR,39.27916666666667
2024-01-01,10115,Berlin,1500.0,Bonus,21,EUR,43.56583333333333
2024-01-01,10115,Berlin,1500.0,Bonus,30,EUR,46.17083333333333
2024-01-01,81539,München,1500.0,Bonus,48,EUR,48.715833333333336
2024-01-01,10115,Berlin,2500.0,Non-Bonus,9,EUR,70.53916666666667
2024-01-01,81539,München,2500.0,Non-Bonus,26,EUR,74.47916666666667
2024-01-01,10115,Berlin,3500.0,Non-Bonus,23,EUR,102.63916666666667
2024-01-01,10115,Berlin,3500.0,Non-Bonus,28,EUR,103.75833333333333
2024-01-01,81539,München,3500.0,Non-Bonus,10,EUR,93.77
2024-01-01,81539,München,3500.0,Non-Bonus,12,EUR,95.47916666666667
2024-01-01,81539,München,3500.0,Non-Bonus,22,EUR,97.74583333333334
2024-01-01,10115,Berlin,1000.0,Bonus,20,EUR,33.07416666666666
2024-01-01,81539,München,1000.0,Bonus,22,EUR,32.791666666666664
2024-01-01,81539,München,3000.0,Non-Bonus,17,EUR,84.46583333333334
2024-01-01,81539,München,3000.0,Non-Bonus,41,EUR,89.54916666666666
2024-01-01,10115,Berlin,2000.0,Non-Bonus,41,EUR,64.8075
2024-01-01,10115,Berlin,2000.0,Non-Bonus,49,EUR,65.61666666666666
